k,itemset,support
1,25,1395
1,52,1983
1,240,1399
1,274,2628
1,368,7828
1,448,1370
1,538,3982
1,561,2783
1,630,1523
1,687,1762
1,775,3771
1,825,3085
1,834,1373
1,39,4258
1,120,4973
1,205,3605
1,401,3667
1,581,2943
1,704,1794
1,814,1672
1,35,1984
1,674,2527
1,733,1141
1,854,2847
1,950,1463
1,422,1255
1,449,1890
1,857,1588
1,895,3385
1,937,4681
1,964,1518
1,229,2281
1,283,4082
1,294,1445
1,381,2959
1,708,1090
1,738,2129
1,766,6265
1,853,1804
1,883,4902
1,966,3921
1,978,1141
1,104,1158
1,143,1417
1,569,2835
1,620,2100
1,798,3103
1,185,1529
1,214,1893
1,350,3069
1,529,7057
1,658,1881
1,682,4132
1,782,2767
1,809,2163
1,947,3690
1,970,2086
1,227,1818
1,390,2685
1,71,3507
1,192,2004
1,208,1483
1,279,3014
1,280,2108
1,496,1428
1,530,1263
1,597,2883
1,618,1337
1,675,2976
1,720,3864
1,914,4037
1,932,1786
1,183,3883
1,217,5375
1,276,2479
1,653,2634
1,706,1923
1,878,2047
1,161,2320
1,175,2791
1,177,4629
1,424,1448
1,490,1066
1,571,2902
1,623,1845
1,795,3361
1,910,1695
1,960,2732
1,125,1287
1,130,1711
1,392,2420
1,461,1498
1,862,3649
1,27,2165
1,78,2471
1,900,1165
1,921,2425
1,147,1383
1,411,2047
1,572,1589
1,579,2164
1,778,2514
1,803,2237
1,266,1022
1,290,1793
1,458,1124
1,523,2244
1,614,3134
1,888,3686
1,944,2794
1,43,1721
1,70,2411
1,204,2174
1,334,2146
1,480,2309
1,513,1287
1,874,2237
1,151,2611
1,504,1296
1,890,1437
1,73,2179
1,310,1390
1,419,5057
1,469,1502
1,722,5845
1,810,1267
1,844,2814
1,846,1480
1,918,3012
1,967,1695
1,326,1488
1,403,1722
1,526,2793
1,774,2046
1,788,2386
1,789,4309
1,975,1764
1,116,2193
1,198,1461
1,201,1029
1,171,1097
1,541,3735
1,701,1283
1,805,1789
1,946,1350
1,471,2894
1,487,3135
1,631,2793
1,638,2288
1,678,1329
1,735,1689
1,780,2306
1,935,1742
1,17,1683
1,242,2325
1,758,2860
1,763,1862
1,956,3626
1,145,4559
1,385,1676
1,676,2717
1,790,1094
1,792,1306
1,885,3043
1,522,2725
1,617,2614
1,859,1242
1,12,3415
1,296,2210
1,354,5835
1,548,2843
1,684,5408
1,740,1632
1,841,1927
1,210,2009
1,346,3470
1,477,2462
1,605,1652
1,829,6810
1,884,1645
1,234,1416
1,460,4438
1,649,1292
1,746,1982
1,600,1192
1,28,1454
1,157,1140
1,5,1094
1,115,1775
1,517,1201
1,736,1470
1,744,2177
1,919,3710
1,196,2096
1,489,3420
1,494,5102
1,641,1494
1,673,1635
1,362,4388
1,591,1241
1,31,1666
1,58,1330
1,181,1235
1,472,2125
1,573,1229
1,628,1102
1,651,1288
1,111,1171
1,154,1447
1,168,1538
1,580,1667
1,632,1070
1,832,2062
1,871,2810
1,988,1164
1,72,2852
1,981,1542
1,10,1351
1,132,2641
1,21,2666
1,32,4248
1,54,2595
1,239,2742
1,348,1226
1,100,1749
1,500,1444
1,48,2472
1,126,1075
1,319,1371
1,639,1572
1,765,1705
1,521,1582
1,112,2680
1,140,2687
1,285,2600
1,387,2089
1,511,1015
1,594,1516
1,93,2777
1,583,1389
1,606,2668
1,236,2618
1,952,1574
1,90,1875
1,593,2601
1,941,1126
1,122,1081
1,718,1238
1,1,1535
1,423,1412
1,516,1544
1,6,2149
1,69,2370
1,797,2684
1,913,1939
1,577,1695
1,110,1801
1,509,3044
1,611,1444
1,995,1521
1,343,1599
1,527,1185
1,33,1460
1,336,1071
1,989,1289
1,97,1466
1,574,1297
1,793,3063
1,598,3219
1,427,1856
1,470,4137
1,37,1249
1,992,1116
1,55,1959
1,897,1935
1,275,1692
1,51,1612
1,259,1522
1,45,1728
1,162,1450
1,378,1149
1,534,1531
1,906,1444
1,912,1009
1,576,1337
1,373,2007
1,716,1199
1,546,1050
1,665,1297
1,963,1327
1,349,2041
1,8,3090
1,197,1230
1,413,2637
1,749,1330
1,823,1031
1,94,1201
1,982,1640
1,984,1756
1,515,1166
1,692,4993
1,694,2847
1,567,1102
1,57,2743
1,800,1916
1,812,1518
1,41,1353
1,414,1160
1,923,1753
1,377,1149
1,752,2578
1,991,1268
1,998,2713
1,899,1252
1,710,1044
1,867,1530
1,170,1203
1,438,4511
1,563,1065
1,357,1142
1,332,1861
1,361,1104
1,322,1154
1,928,1034
1,75,3151
1,486,1547
1,440,1943
1,38,2402
1,784,1257
1,265,1359
1,686,1495
1,540,1293
1,468,1089
1,663,2354
1,819,1257
1,886,3053
1,429,1037
1,843,1222
1,129,1547
1,578,1290
1,510,3281
1,68,1601
1,860,1255
1,4,1394
1,887,1671
1,309,1262
1,804,1315
1,325,1022
1,826,2022
1,394,1145
1,707,1354
1,105,1100
1,815,1358
1,948,1149
1,308,1402
1,661,2693
1,634,2492
1,351,1641
1,405,1525
1,688,1132
1,949,1414
1,163,1256
1,893,1947
1,335,1345
1,173,1080
1,258,1036
1,85,1555
1,450,2082
1,428,1021
1,550,1203
1,769,1622
1,554,1114
1,366,1031
1,820,1473
1,207,1214
2,217 346,1336
2,390 722,1042
2,39 825,1187
2,704 825,1102
2,789 829,1194
2,39 704,1107
2,368 682,1193
2,227 390,1049
2,368 829,1194
3,39 704 825,1035
